id,related_id,slug,title,presenterDisplayName
595674,155791,al_gore_why_climate_action_is_unstoppable_and_climate_realism_is_a_myth,"Why climate action is unstoppable — and ""climate realism"" is a myth",Al Gore
595674,73953,ted_ed_how_much_electricity_does_it_take_to_power_the_world,How much electricity does it take to power the world?, TED-Ed
595674,1754,alex_laskey_how_behavioral_science_can_lower_your_energy_bill,How behavioral science can lower your energy bill,Alex Laskey
595674,1434,amory_lovins_a_40_year_plan_for_energy,A 40-year plan for energy,Amory Lovins
595674,828,catherine_mohr_the_tradeoffs_of_building_green,The tradeoffs of building green,Catherine Mohr
594333,159974,rob_bredow_and_nora_atkinson_what_will_the_future_of_art_look_like_a_visual_effects_artist_and_a_curator_answer,What will the future of art look like? A visual effects artist and a curator answer,Rob Bredow and Nora Atkinson
594333,156781,kiran_bhat_how_to_build_the_3d_world_of_your_dreams_with_just_a_text_prompt,How to build the 3D world of your dreams with just a text prompt,Kiran Bhat
594333,157642,jason_zada_how_to_turn_ai_prompts_into_movie_magic,How to turn AI prompts into movie magic,Jason Zada
594333,2841,tom_gruber_how_ai_can_enhance_our_memory_work_and_social_lives,"How AI can enhance our memory, work and social lives",Tom Gruber
594333,20368,kai_fu_lee_how_ai_can_save_our_humanity,How AI can save our humanity,Kai-Fu Lee
594333,17851,max_tegmark_how_to_get_empowered_not_overpowered_by_ai,"How to get empowered, not overpowered, by AI",Max Tegmark
595446,132554,stephen_esposito_what_really_happened_to_oedipus,What really happened to Oedipus?,Stephen Esposito
595446,71212,iseult_gillespie_savitri_and_satyavan_the_legend_of_the_princess_who_outwitted_death,Savitri and Satyavan: The legend of the princess who outwitted Death,Iseult Gillespie
595446,27674,alex_gendler_the_myth_of_sisyphus,The myth of Sisyphus,Alex Gendler
590428,148434,dustin_ballard_is_ai_ruining_music,Is AI ruining music?,Dustin Ballard
590428,152993,amie_mcnee_the_case_for_making_art_when_the_world_is_on_fire,The case for making art when the world is on fire,Amie McNee
590428,148236,navied_mahdavian_how_art_helped_me_grapple_with_grief,How art helped me grapple with grief,Navied Mahdavian
590428,1169,shea_hembrey_how_i_became_100_artists,How I became 100 artists,Shea Hembrey
590428,831,thelma_golden_how_art_gives_shape_to_cultural_change,How art gives shape to cultural change,Thelma Golden
590428,3618,hadi_eldebek_why_must_artists_be_poor,Why must artists be poor?,Hadi Eldebek
595670,157718,david_fajgenbaum_how_nearly_dying_helped_me_discover_my_own_cure_and_many_more,How nearly dying helped me discover my own cure (and many more),David Fajgenbaum
595670,91521,celina_de_sola_mental_health_care_that_disrupts_cycles_of_violence,Mental health care that disrupts cycles of violence,Celina de Sola
595670,159974,rob_bredow_and_nora_atkinson_what_will_the_future_of_art_look_like_a_visual_effects_artist_and_a_curator_answer,What will the future of art look like? A visual effects artist and a curator answer,Rob Bredow and Nora Atkinson
595670,2076,rishi_manchanda_what_makes_us_get_sick_look_upstream,What makes us get sick? Look upstream,Rishi Manchanda
595670,2098,gail_reed_where_to_train_the_world_s_doctors_cuba,Where to train the world's doctors? Cuba.,Gail Reed
595670,1557,vikram_patel_mental_health_for_all_by_involving_all,Mental health for all by involving all,Vikram Patel
594092,135146,louise_thwaites_why_is_it_so_dangerous_to_step_on_a_rusty_nail,Why is it so dangerous to step on a rusty nail?,Louise Thwaites
594092,46518,ben_longdon_how_do_viruses_jump_from_animals_to_humans,How do viruses jump from animals to humans?,Ben Longdon
594092,142579,hei_man_chan_what_actually_causes_high_cholesterol,What actually causes high cholesterol?,Hei Man Chan
594325,82300,dan_kwartler_why_don_t_we_cover_the_desert_with_solar_panels,Why don't we cover the desert with solar panels?,Dan Kwartler
594325,159494,mfikeyi_makayi_the_emerging_science_of_finding_critical_metals,The emerging science of finding critical metals ,Mfikeyi Makayi
594325,160076,amy_barnes_will_climate_change_make_your_home_uninsurable,Will climate change make your home uninsurable?,Amy Barnes
594325,37346,marjan_van_aubel_the_beautiful_future_of_solar_power,The beautiful future of solar power,Marjan van Aubel
594325,1248,bunker_roy_learning_from_a_barefoot_movement,Learning from a barefoot movement,Bunker Roy
594325,9983,hannah_burckstummer_a_printable_flexible_organic_solar_cell,"A printable, flexible, organic solar cell",Hannah Bürckstümmer
591849,94633,olivia_lazard_the_blind_spots_of_the_green_energy_transition,The blind spots of the green energy transition,Olivia Lazard
591849,155791,al_gore_why_climate_action_is_unstoppable_and_climate_realism_is_a_myth,"Why climate action is unstoppable — and ""climate realism"" is a myth",Al Gore
591849,133752,saleem_ali_the_fight_over_minerals_for_green_energy_and_a_better_way_forward,The fight over minerals for green energy — and a better way forward,Saleem Ali
591849,2841,tom_gruber_how_ai_can_enhance_our_memory_work_and_social_lives,"How AI can enhance our memory, work and social lives",Tom Gruber
591849,17851,max_tegmark_how_to_get_empowered_not_overpowered_by_ai,"How to get empowered, not overpowered, by AI",Max Tegmark
591849,2645,kevin_kelly_how_ai_can_bring_on_a_second_industrial_revolution,How AI can bring on a second Industrial Revolution,Kevin Kelly
595444,87464,emily_zobel_marshall_the_myth_of_anansi_the_trickster_spider,"The myth of Anansi, the trickster spider",Emily Zobel Marshall
595444,52402,alex_gendler_the_myth_of_loki_and_the_master_builder,The myth of Loki and the master builder,Alex Gendler
595444,97364,iseult_gillespie_the_myth_of_zeus_test,The myth of Zeus' test,Iseult Gillespie
595373,97793,gloria_chan_packer_work_is_not_your_family_sep_2022,Work is not your family,Gloria Chan Packer
595373,111970,anne_morriss_5_steps_to_fix_any_problem_at_work,5 steps to fix any problem at work,Anne Morriss
595373,156619,rafael_chiuzi_the_most_powerful_predictor_of_team_success,The most powerful predictor of team success,Rafael Chiuzi
595373,9463,susan_david_the_gift_and_power_of_emotional_courage,The gift and power of emotional courage,Susan David
595373,7592,tiffany_watt_smith_the_history_of_human_emotions,The history of human emotions,Tiffany Watt Smith
595373,2279,rana_el_kaliouby_this_app_knows_how_you_feel_from_the_look_on_your_face,This app knows how you feel -- from the look on your face,Rana el Kaliouby
592537,160608,harjeet_singh_floating_farms_sponge_cities_and_the_climate_solutions_already_working,"Floating farms, sponge cities and the climate solutions already working",Harjeet Singh
592537,155791,al_gore_why_climate_action_is_unstoppable_and_climate_realism_is_a_myth,"Why climate action is unstoppable — and ""climate realism"" is a myth",Al Gore
592537,158932,ilona_szabo_de_carvalho_the_world_s_first_nature_superpower,"The world's first ""nature superpower""",Ilona Szabó de Carvalho
592537,940,lisa_margonelli_the_political_chemistry_of_oil,The political chemistry of oil,Lisa Margonelli
592537,1394,t_boone_pickens_let_s_transform_energy_with_natural_gas,Let's transform energy -- with natural gas,T. Boone Pickens
592537,862,richard_sears_planning_for_the_end_of_oil,Planning for the end of oil,Richard Sears
594533,148431,yancey_strickler_forget_hustle_culture_behold_the_artist_corporation,Forget hustle culture. Behold the Artist Corporation,Yancey Strickler
594533,158573,jenny_du_the_science_of_making_fruits_and_veggies_last_longer,The science of making fruits and veggies last longer,Jenny Du
594533,136281,yara_shahidi_and_anil_seth_what_makes_you_you_an_actor_and_a_neuroscientist_answer,What makes you “you”? An actor and a neuroscientist answer,Yara Shahidi and Anil Seth
594533,21307,leticia_gasca_don_t_fail_fast_fail_mindfully,Don't fail fast -- fail mindfully,Leticia Gasca
594533,1592,melissa_marshall_talk_nerdy_to_me,Talk nerdy to me,Melissa Marshall
594533,572,richard_st_john_success_is_a_continuous_journey,Success is a continuous journey,Richard St. John
595205,147981,taylor_lynn_carpenter_parkour_how_the_sport_keeps_your_body_and_mind_fit,Parkour! How the sport keeps your body and mind fit,Taylor Lynn Carpenter
595205,147778,shane_battier_an_nba_champion_s_advice_on_being_a_top_teammate,An NBA champion's advice on being a top teammate,Shane Battier
595205,117221,emmanuel_acho_why_you_should_stop_setting_goals_yes_really,"Why you should stop setting goals (yes, really)",Emmanuel Acho
595205,1841,andrew_fitzgerald_adventures_in_twitter_fiction,Adventures in Twitter fiction,Andrew Fitzgerald
595205,1379,andrew_stanton_the_clues_to_a_great_story,The clues to a great story,Andrew Stanton
595205,1282,joe_sabia_the_technology_of_storytelling,The technology of storytelling,Joe Sabia
592539,111819,david_m_howard_can_we_recreate_the_voice_of_a_3_000_year_old_mummy,"Can we recreate the voice of a 3,000-year-old mummy?",David M. Howard
592539,65437,michael_corballis_evolution_s_great_mystery_language,Evolution's great mystery: Language,Michael Corballis
592539,137891,nicky_trevorrow_how_to_make_your_cat_happier_in_3_minutes,How to make your cat happier — in 3 minutes,Nicky Trevorrow
592539,1203,mark_pagel_how_language_transformed_humanity,How language transformed humanity,Mark Pagel
592539,164,steven_pinker_what_our_language_habits_reveal,What our language habits reveal,Steven Pinker
592539,24232,claire_bowern_where_did_english_come_from,Where did English come from?,Claire Bowern
593674,147329,laura_miele_the_power_of_gaming_together_in_a_lonely_world,The power of gaming together in a lonely world,Laura Miele
593674,107970,kris_alexander_how_video_games_can_level_up_the_way_you_learn,How video games can level up the way you learn,Kris Alexander
593674,156781,kiran_bhat_how_to_build_the_3d_world_of_your_dreams_with_just_a_text_prompt,How to build the 3D world of your dreams with just a text prompt,Kiran Bhat
593674,2894,sara_dewitt_3_fears_about_screen_time_for_kids_and_why_they_re_not_true,3 fears about screen time for kids -- and why they're not true,Sara DeWitt
593674,361,david_perry_are_games_better_than_life,Are games better than life?,David Perry
593674,1618,daphne_bavelier_your_brain_on_video_games,Your brain on video games,Daphne Bavelier
591506,156845,julienne_oyler_how_displaced_people_are_driving_local_economies,How displaced people are driving local economies,Julienne Oyler
591506,91521,celina_de_sola_mental_health_care_that_disrupts_cycles_of_violence,Mental health care that disrupts cycles of violence,Celina de Sola
591506,115255,anika_goss_detroit_s_climate_crisis_and_how_to_build_a_resilient_future_everywhere,Detroit's climate crisis — and how to build a resilient future everywhere,Anika Goss
591506,1864,mohamed_ali_the_link_between_unemployment_and_terrorism,The link between unemployment and terrorism,Mohamed Ali
591506,2139,robert_muggah_how_to_protect_fast_growing_cities_from_failing,How to protect fast-growing cities from failing,Robert Muggah
591506,2107,alessandra_orofino_it_s_our_city_let_s_fix_it,It’s our city. Let’s fix it,Alessandra Orofino
593185,160608,harjeet_singh_floating_farms_sponge_cities_and_the_climate_solutions_already_working,"Floating farms, sponge cities and the climate solutions already working",Harjeet Singh
593185,88842,orit_tykocinski_the_counterintuitive_psychology_of_insurance,The counterintuitive psychology of insurance,Orit Tykocinski
593185,157985,lei_zhang_the_powerful_promise_of_earth_s_harshest_places,The powerful promise of Earth’s harshest places,Lei Zhang
593185,192,david_keith_a_critical_look_at_geoengineering_against_climate_change,A critical look at geoengineering against climate change,David Keith
593185,2784,ted_halstead_a_climate_solution_where_all_sides_can_win,A climate solution where all sides can win,Ted Halstead
593185,243,al_gore_new_thinking_on_the_climate_crisis,New thinking on the climate crisis,Al Gore
581928,130568,sonia_vallabh_my_quest_to_cure_prion_disease_before_it_s_too_late,My quest to cure prion disease — before it's too late,Sonia Vallabh
581928,157718,david_fajgenbaum_how_nearly_dying_helped_me_discover_my_own_cure_and_many_more,How nearly dying helped me discover my own cure (and many more),David Fajgenbaum
581928,138369,katsuhiko_hayashi_a_mouse_with_two_dads_and_a_new_frontier_for_biology,A mouse with two dads — and a new frontier for biology,Katsuhiko Hayashi
581928,9982,matthias_mullenbeck_what_if_we_paid_doctors_to_keep_people_healthy,What if we paid doctors to keep people healthy?,Matthias Müllenbeck
581928,2076,rishi_manchanda_what_makes_us_get_sick_look_upstream,What makes us get sick? Look upstream,Rishi Manchanda
581928,2570,sebastian_kraves_the_era_of_personal_dna_testing_is_here,The era of personal DNA testing is here,Sebastian Kraves
594323,64912,ali_kashani_a_friendly_autonomous_robot_that_delivers_your_food,"A friendly, autonomous robot that delivers your food",Ali Kashani
594323,155248,bradley_tusk_why_you_should_be_able_to_vote_on_your_phone,Why you should be able to vote on your phone ,Bradley Tusk
594323,159974,rob_bredow_and_nora_atkinson_what_will_the_future_of_art_look_like_a_visual_effects_artist_and_a_curator_answer,What will the future of art look like? A visual effects artist and a curator answer,Rob Bredow and Nora Atkinson
594323,1709,keller_rinaudo_cliffton_a_mini_robot_powered_by_your_phone,A mini robot -- powered by your phone,Keller Rinaudo Cliffton
594323,1070,cynthia_breazeal_the_rise_of_personal_robots,The rise of personal robots,Cynthia Breazeal
594323,355,rodney_brooks_robots_will_invade_our_lives,Robots will invade our lives,Rodney Brooks
593340,148363,michael_vazquez_and_sarah_stroud_when_should_you_break_a_promise,When should you break a promise?,Michael Vazquez and Sarah Stroud
593340,158457,michael_vazquez_and_raye_ploeger_can_humans_be_trusted_with_control_over_genetics,Can humans be trusted with control over genetics?,Michael Vazquez and Raye Ploeger
593340,23919,joy_lin_if_superpowers_were_real_immortality,If superpowers were real: Immortality,Joy Lin
594074,156061,josephine_waweru_the_miraculous_device_that_saved_my_farm_and_changed_my_life,The miraculous device that saved my farm — and changed my life,Josephine Waweru
594074,137526,gabe_brown_how_regenerative_agriculture_brings_life_back_to_the_land,How regenerative agriculture brings life back to the land,Gabe Brown
594074,148237,ted_ed_this_is_how_nomadic_farmers_live,This is how nomadic farmers live,TED-Ed
594074,192,david_keith_a_critical_look_at_geoengineering_against_climate_change,A critical look at geoengineering against climate change,David Keith
594074,2093,lord_nicholas_stern_the_state_of_the_climate_and_what_we_might_do_about_it,The state of the climate — and what we might do about it,Lord Nicholas Stern
594074,1207,alex_steffen_the_shareable_future_of_cities,The shareable future of cities,Alex Steffen
574655,136666,brian_s_lowery_how_to_live_a_meaningful_life,How to live a meaningful life,Brian S. Lowery
574655,81396,olivia_affuso_3_ways_community_creates_a_healthy_life,3 ways community creates a healthy life,Olivia Affuso
574655,140318,rhaina_cohen_why_friendship_can_be_just_as_meaningful_as_romantic_love,Why friendship can be just as meaningful as romantic love,Rhaina Cohen
574655,9463,susan_david_the_gift_and_power_of_emotional_courage,The gift and power of emotional courage,Susan David
574655,2279,rana_el_kaliouby_this_app_knows_how_you_feel_from_the_look_on_your_face,This app knows how you feel -- from the look on your face,Rana el Kaliouby
574655,7592,tiffany_watt_smith_the_history_of_human_emotions,The history of human emotions,Tiffany Watt Smith
591845,138029,michael_beug_this_mushroom_will_kill_you_before_you_know_what_s_happening,This mushroom will kill you before you know what’s happening,Michael Beug
591845,80843,sarah_e_tracy_what_is_msg_and_is_it_actually_bad_for_you,"What is MSG, and is it actually bad for you?",Sarah E. Tracy
591845,131343,vivian_jiang_how_did_ancient_civilizations_make_ice_cream,How did ancient civilizations make ice cream?,Vivian Jiang
587797,130568,sonia_vallabh_my_quest_to_cure_prion_disease_before_it_s_too_late,My quest to cure prion disease — before it's too late,Sonia Vallabh
587797,159724,simona_francese_could_we_detect_breast_cancer_with_a_fingerprint,Could we detect breast cancer with a fingerprint?,Simona Francese
587797,157595,david_baker_why_building_new_proteins_from_scratch_is_our_new_superpower,Why building new proteins from scratch is our new superpower,David Baker
587797,408,gregory_petsko_the_coming_neurological_epidemic,The coming neurological epidemic,Gregory Petsko
587797,761,david_agus_a_new_strategy_in_the_war_on_cancer,A new strategy in the war on cancer,David Agus
587797,2340,samuel_cohen_alzheimer_s_is_not_normal_aging_and_we_can_cure_it,Alzheimer's is not normal aging — and we can cure it,Samuel Cohen
587786,148380,theresa_fyffe_a_new_lifeline_for_the_world_s_coral_reefs,A new lifeline for the world's coral reefs,Theresa Fyffe
587786,156825,eric_nguyen_how_ai_could_generate_new_life_forms,How AI could generate new life-forms,Eric Nguyen
587786,158681,dion_dawson_your_zip_code_shouldn_t_determine_your_lifespan,Your zip code shouldn’t determine your lifespan,Dion Dawson
587786,1711,eric_dishman_health_care_should_be_a_team_sport,Health care should be a team sport,Eric Dishman
587786,9982,matthias_mullenbeck_what_if_we_paid_doctors_to_keep_people_healthy,What if we paid doctors to keep people healthy?,Matthias Müllenbeck
587786,20008,pratik_shah_how_ai_is_making_it_easier_to_diagnose_disease,How AI is making it easier to diagnose disease,Pratik Shah
592862,132784,uma_valeti_is_cultivated_meat_the_future_of_food,Is cultivated meat the future of food?,Uma Valeti
592862,118317,carolyn_beans_what_would_happen_if_everyone_stopped_eating_meat_tomorrow,What would happen if everyone stopped eating meat tomorrow? ,Carolyn Beans
592862,82095,isha_datar_how_we_could_eat_real_meat_without_harming_animals,How we could eat real meat without harming animals,Isha Datar
592862,1948,steven_pinker_and_rebecca_newberger_goldstein_the_long_reach_of_reason,The long reach of reason,Steven Pinker and Rebecca Newberger Goldstein
592862,341,jonathan_haidt_the_moral_roots_of_liberals_and_conservatives,The moral roots of liberals and conservatives,Jonathan Haidt
592862,802,juliana_machado_ferreira_the_fight_to_end_rare_animal_trafficking_in_brazil,The fight to end rare-animal trafficking in Brazil,Juliana Machado Ferreira
592819,148343,rob_bredow_the_artist_driven_innovation_behind_the_films_we_love,The artist-driven innovation behind the films we love,Rob Bredow
592819,20757,nora_atkinson_why_art_thrives_at_burning_man,Why art thrives at Burning Man,Nora Atkinson
592819,148406,david_suh_and_molly_graham_what_is_true_confidence_a_photographer_and_a_brand_builder_answer,What is true confidence? A photographer and a brand builder answer,David Suh and Molly Graham
592819,1169,shea_hembrey_how_i_became_100_artists,How I became 100 artists,Shea Hembrey
592819,831,thelma_golden_how_art_gives_shape_to_cultural_change,How art gives shape to cultural change,Thelma Golden
592819,1747,phil_hansen_embrace_the_shake,Embrace the shake,Phil Hansen
589671,68739,richard_coffin_how_do_investors_choose_stocks,How do investors choose stocks?,Richard Coffin
589671,85588,ann_helen_bay_why_is_it_so_hard_to_escape_poverty,Why is it so hard to escape poverty?,Ann-Helén Bay
589671,79570,jonathan_smith_why_can_t_governments_print_an_unlimited_amount_of_money,Why can’t governments print an unlimited amount of money?,Jonathan Smith
585774,155788,wawira_njiru_the_blueprint_for_serving_a_million_school_lunches_every_day,The blueprint for serving a million school lunches — every day,Wawira Njiru
585774,148380,theresa_fyffe_a_new_lifeline_for_the_world_s_coral_reefs,A new lifeline for the world's coral reefs,Theresa Fyffe
585774,126763,chantale_zuzi_leader_dear_fellow_refugees_here_s_how_i_found_resilience,"Dear fellow refugees, here's how I found resilience",Chantale Zuzi Leader
585774,10378,robert_hakiza_refugees_want_empowerment_not_handouts,"Refugees want empowerment, not handouts",Robert Hakiza
585774,2449,alexander_betts_our_refugee_system_is_failing_here_s_how_we_can_fix_it,Our refugee system is failing. Here's how we can fix it,Alexander Betts
585774,2110,melissa_fleming_let_s_help_refugees_thrive_not_just_survive,"Let's help refugees thrive, not just survive",Melissa Fleming
591512,157429,jacqueline_novogratz_700_million_people_still_live_without_electricity_here_s_how_to_fix_that,700 million people still live without electricity. Here’s how to fix that,Jacqueline Novogratz
591512,131495,freada_kapor_klein_how_to_use_venture_capital_for_good,How to use venture capital for good,Freada Kapor Klein
