id,slug,internalId,description,duration,presenterDisplayName,publishedAt
597320,ian_bremmer_inside_the_gaza_peace_plan,162106,"October 7 marks the second anniversary of Hamas' horrific attack on Israel — and Israel's devastating response. Political scientist Ian Bremmer unravels the intricate dynamics of President Trump's ambitious peace plan, the stark realities facing Gaza, how Israeli Prime Minister Netanyahu is navigating this moment and whether a genuine path to peace is possible. (This interview, hosted by TED’s Helen Walters, was recorded on October 6, 2025.)",2291,Ian Bremmer,2025-10-06T23:54:38Z
596936,deja_foxx_beyond_the_talk_deja_foxx_on_finding_alternative_online_spaces,161944,"""Teen girls have solutions to save us from some of our biggest problems,"" says digital strategist Deja Foxx. Following her talk at TED2025, she joins Elise Hu, host of TED Talks Daily, to discuss the power, innovation and intelligence of teen girls — especially amid a rise in online platforms censoring women's health and creativity. Foxx reflects on how she went viral for speaking up at a town hall meeting, talks about the importance of carving out space for a different kind of internet and shares some of the women-led platforms uplifting female creatives. She also explores her journey into politics and shows how anyone can practice civic engagement, both online and offline.",1671,Deja Foxx,2025-10-07T16:02:07Z
594328,deja_foxx_going_viral_taught_me_the_internet_is_broken_but_fixable,160683,"Digital strategist Deja Foxx went viral for speaking up at a town meeting — and then learned the harsh cost of being in social media’s crosshairs. She welcomes us to the “girl internet,” a growing ecosystem of women-led platforms that prioritize privacy, community and respect. ""We’re building a new, better way of being online, no matter your generation or your gender,"" she says.",596,Deja Foxx,2025-10-06T14:46:23Z
595676,heidi_grant_and_barry_cooper_can_ai_make_us_more_human_a_social_psychologist_and_a_business_leader_answer,161396,"As AI continues to integrate into our workplaces, how do we ensure we don’t lose what makes us human? Social psychologist Heidi Grant speaks with NiCE's CX Division president Barry Cooper about why the current era of AI is misunderstood and how working with this new technology — instead of against it — can help you grow both inside and outside of your career. (This content is made possible by NiCE. It however does not necessarily reflect the views of NiCE.)",1532,Heidi Grant and Barry Cooper,2025-10-03T15:21:54Z
587540,rachel_yang_your_phone_s_camera_isn_t_as_good_as_you_think,157588,"When the Visualphone VP210 hit the market in 1999, it advertised a never-before-seen feature: a camera. With only .11 megapixels, the Visualphone is a relic compared to modern devices. But while this technology has improved dramatically, engineers are rapidly approaching a hard limit on phone camera quality. So, what's limiting them? Rachel Yang shares a snapshot of how digital cameras work. [Directed by Vicente Numpaque, Hernando Bahamon, Globizco Studios, narrated by Pen-Pen Chen, music by A4M, Audio For Media].",238,Rachel Yang,2025-10-02T15:02:47Z
595674,matt_tilleard_the_best_thing_that_could_happen_to_the_energy_industry,161395,"History has been written by whoever controls the dominant fuel of the era — until now, says renewables entrepreneur Matt Tilleard. He explains why, as the clean energy transition ramps up, we’re moving from a world where energy comes from burning fuels to one where it will come from using technology. Learn why this could change everything about global power dynamics — and why the future belongs not to those who control resources, but to those who build and share technology.",769,Matt Tilleard,2025-10-02T14:53:50Z
594333,matan_cohen_grumi_friendly_pizza_ufos_and_the_joy_of_ai_generated_video,160685,"While many rush to create new realities with AI video tools, creative director Matan Cohen Grumi is focused on reimagining the one we're already living in. By blending the real and unreal, he shows how everyday photos are transformed into playful, deeply human videos — from inflating office supplies to an alien pizza landing in New Jersey. Watch how AI can enhance stories by reflecting our imagination, not replacing it.",312,Matan Cohen Grumi,2025-10-01T14:43:54Z
595446,iseult_gillespie_the_greek_myth_of_the_fates_prophecy,161272,"The night of her son's birth, the queen of Calydon was visited by three shadowy goddesses, known as the Fates. They gestured towards the blazing hearth and decreed that her son would live only until the burning log was reduced to embers. Terrified, the queen locked the log in a chest and guarded the key— but the secret would loom over his life. Iseult Gillespie shares the Greek myth of Meleager. [Directed by Layron DeJarnette, Gumboyo Animation, narrated by Bethany Cutmore-Scott, music by Salil Bhayani, cAMP Studio].",274,Iseult Gillespie,2025-09-30T15:01:20Z
590428,gabe_whaley_this_ted_talk_is_full_of_bad_ideas,158866,"What if the worst ideas turned out to be the most interesting? Mischief-making artist Gabe Whaley shares how he built a collective of artists whose seemingly bad ideas — like selling 5,000 keys to the same car — often go viral and sell for thousands of dollars. His playful experiments show why it’s worth leaning into the absurd … because you never know what might happen.",682,Gabe Whaley,2025-09-30T14:46:43Z
595670,david_fajgenbaum_and_celina_de_sola_how_do_you_turn_hope_into_action_a_doctor_and_a_public_health_expert_answer,161392,"How do you hold on to hope while still being realistic about the work that needs to be done? Immunology researcher David Fajgenbaum and public health expert Celina de Sola discuss how they scaled personal missions into organizations making long-term impact on communities near and far. They explore how to stay motivated, discover your leadership style and uncover overlooked solutions hiding in plain sight. (This conversation is part of ""TED Intersections,"" a series featuring thought-provoking conversations between experts navigating the ideas shaping our world.)",1775,David Fajgenbaum and Celina de Sola,2025-09-26T15:00:34Z
594092,emma_bryce_is_it_really_that_bad_to_eat_cookie_dough,160609,"Salmonella infects millions worldwide each year, causing fever, stomach cramps, and diarrhea. And these effects can be extreme: Salmonella is the leading cause of hospitalizations and deaths from food poisoning. So, how does it spread from chickens to humans? And how does it make us sick? Emma Bryce follows the journey of this crafty pathogen from farm to plate. [Directed by Denys Spolitak, narrated by Christina Greer, music by Salil Bhayani, cAMP Studio].",285,Emma Bryce,2025-09-25T15:05:05Z
594325,kanika_chawla_inside_india_s_astonishing_solar_revolution,160682,"In 2014, the world’s second largest coal consumer made a bold promise: to increase its solar capacity from three gigawatts to 100 gigawatts in just eight years. Many people called it overly ambitious, but energy expert Kanika Chawla saw the opportunity of a lifetime. She tells the story of how India became a solar powerhouse, turning an expensive dream into an economic reality — and creating a model for other countries to follow suit.",545,Kanika Chawla,2025-09-25T14:45:13Z
591849,mfikeyi_makayi_the_emerging_science_of_finding_critical_metals,159494,"Your smartphone, computer and electric car all depend on one thing — critical minerals buried deep underground. But there’s a catch: the mining industry has gotten dramatically worse at discovering new deposits just when we need them most, says mining innovator Mfikeyi Makayi. She introduces new AI-powered technology that could fix this problem by predicting mineral locations 10,000 times faster than conventional methods and transforming an industry essential to a sustainable future. ",518,Mfikeyi Makayi,2025-09-24T14:48:08Z
595444,iseult_gillespie_the_myth_of_dionysus_drunken_revenge,161271,"Acoetes of Maeonia had been roped into serving as the navigator for a band of pirates. And now the pirates had kidnapped a sleeping youth. As they laid their victim’s body on the ship, Acoetes felt the pit in his stomach deepen. The pirates hadn’t noticed, but their new captive was a slumbering god. Iseult Gillespie digs into the Greek myth of Dionysus and his return to Thebes. [Directed by Keegan Thornhill, narrated by Susan ZImmerman, music by Salil Bhayani, cAMP Studio].",328,Iseult Gillespie,2025-09-23T15:01:32Z
595373,alyssa_birnbaum_3_simple_ways_to_build_stronger_relationships_at_work,161270,"Doing the best at your job isn't just about working harder — it’s also about connecting better, says psychologist Alyssa Birnbaum. She shares practical, research-backed tips for strengthening relationships with your coworkers (whether you’re together in person or working remotely) in order to boost engagement, fight burnout and make work better for everyone.",903,Alyssa Birnbaum,2025-09-23T14:51:23Z
592537,melinda_janki_how_we_took_on_an_oil_giant_and_won,159831,"Oil companies may seem invincible, but they are more vulnerable than you think, says climate justice litigator Melinda Janki. She tells the story of how she took on ExxonMobil in her home country of Guyana, notching historic wins against the oil giant — and proving that we can turn existing laws into powerful tools for change.",647,Melinda Janki,2025-09-22T14:42:48Z
594533,yancey_strickler_and_jenny_du_how_do_you_rethink_how_the_world_works_an_entrepreneur_and_an_engineer_answer,160811,"What happens when following the “right” path leads you to the “wrong” place? Kickstarter cofounder Yancey Strickler and scientist Jenny Du discuss how they’ve made careers out of rethinking old systems and imagining new ones. They dive into the spark that led to their success — and show why it’s important to love your own “weird ways” of being. (This conversation is part of ""TED Intersections,"" a series featuring thought-provoking conversations between experts navigating the ideas shaping our world.)",1472,Yancey Strickler and Jenny Du,2025-09-19T15:59:26Z
595205,paul_triple_h_levesque_patrick_talty_inside_wwe_s_storytelling_machine,161150,"From his electrifying entrances as a professional wrestler to his current work as WWE's chief content officer, Paul ""Triple H"" Levesque knows how to entertain a crowd. In this conversation with TEDSports co-chair Patrick Talty, Levesque pulls back the curtain on WWE's approach to storytelling, gives a peek at what's coming next and explains why pro wrestling belongs in the same conversation as the world's biggest sports.",1958,"Paul ""Triple H"" Levesque, Patrick Talty",2025-09-19T14:53:32Z
592539,richard_dawkins_the_link_between_evolution_and_language,159832,"Languages drift, adapt and evolve much like living species. In this wide-ranging conversation, evolutionary biologist Richard Dawkins and linguist John McWhorter trace the parallels between biology and speech, from random mutations to cultural selection. They show how both genes and words change, survive and connect us — illuminating the deep patterns that shape life and language alike.",1279,Richard Dawkins,2025-09-18T14:43:29Z
593674,hannah_boquet_how_video_games_can_power_up_your_parenting,160410,"Parenting an eye-rolling teenager glued to a gaming system is not a simple feat, but what if you could turn screen time into an opportunity for connection? Hannah Boquet shares how she decided to play video games with her kids and discovered the power of esports to foster trust, communication and essential life skills. Dive deeper into how you can strengthen family bonds, support your child’s development — and maybe even be considered “cool” by your kid.",856,Hannah Boquet,2025-09-17T14:49:12Z
591506,aqeela_sherrills_the_grassroots_movement_transforming_public_safety,159281,"In 1992, something unprecedented happened in Los Angeles: rival gang members negotiated a historic peace treaty, significantly reducing violence across the city. Aqeela Sherrills, one of the key negotiators of that treaty, continues to bring his vision of community-led peace programs to cities across the US. He shares how the new initiative Scaling Safety is empowering trusted local leaders to redefine public safety and create lasting change from the inside out. (This ambitious idea is part of The Audacious Project, TED’s initiative to inspire and fund global change.)",719,Aqeela Sherrills,2025-09-16T14:34:58Z
593185,amy_barnes_will_climate_change_make_your_home_uninsurable,160076,"Insurance is the hidden engine that keeps the economy churning, but climate change is making home insurance unaffordable for many people, says climate risk advisor Amy Barnes. She reveals why soaring premiums aren't just bad news for homeowners, but also a flashing red signal for the global financial system — and why investing in resilience now could change everything.",524,Amy Barnes,2025-09-15T14:52:32Z
581928,robert_c_green_the_life_saving_secrets_in_your_baby_s_dna,155035,"What if we could get a heads-up about serious health issues before they begin, from the moment a baby is born? In this groundbreaking talk, medical geneticist and physician-scientist Robert C. Green shares how his team at the BabySeq Project became the first in the world to comprehensively sequence and analyze the DNA of healthy infants, revealing hidden risks for treatable conditions. The future of medicine isn’t just about curing illness, he says — it's about predicting and preventing it.",657,Robert C. Green,2025-09-12T14:56:55Z
594323,bradley_tusk_and_ali_kashani_how_will_new_tech_shape_your_life_a_roboticist_and_a_political_strategist_answer,160681,"Should you be polite to robots? Political strategist Bradley Tusk and roboticist Ali Kashani explore how new technology is poised to make your life easier — from voting on your phone to having a robot deliver your lunch. They discuss the best ways to use technology to meet people where they are and the challenges that come with disrupting the status quo. (This conversation is part of “TED Intersections,” a series featuring thought-provoking conversations between experts navigating the ideas shaping our world.)",1473,Bradley Tusk and Ali Kashani,2025-09-12T14:48:47Z
593340,sarah_stroud_and_michael_vazquez_if_you_had_the_chance_to_be_immortal_would_you_take_it,160214,"While cleaning out your uncle’s attic you find a chest with a sparkling potion. The attached tag declares drinking this liquid will make you immortal. Your body will be frozen at its current age, and these effects would be final and irreversible. The instructions are clear — the only question is, do you drink the potion? Sarah Stroud and Michael Vazquez explore this philosophical debate. [Directed by Skirmanta Jakaitė, narrated by Addison Anderson, music by Stephen LaRosa, Wonder Boy Audio].",319,Sarah Stroud and Michael Vazquez,2025-09-11T15:02:20Z
594074,harjeet_singh_floating_farms_sponge_cities_and_the_climate_solutions_already_working,160608,What if every dollar you spend today could save you 10 dollars tomorrow? Development expert Harjeet Singh reveals how climate solutions like floating farms and “sponge cities” that absorb floodwater aren’t just clever adaptations — they’re smart economics. He explains why wealthy nations must fund the adaptation efforts of developing countries and shows how anybody can build resilience to climate change no matter where they are.,666,Harjeet Singh,2025-09-11T14:54:49Z
574655,jennifer_wallace_why_we_need_to_know_our_lives_matter,148433,"It’s not enough to do important work — we need to know it truly matters, says journalist Jennifer Wallace. Drawing on her research into firefighters, caregivers and more, she shows how simple acts of acknowledgment and connection can fuel our sense of purpose in a world that too often undervalues recognition.",751,Jennifer Wallace,2025-09-10T14:49:18Z
591845,carolyn_beans_what_are_truffles_and_why_are_they_so_expensive,159493,"Truffles are one of the world’s most expensive foods— in part because global demand often outstrips supply. And truffles are becoming even more rare and more expensive as deforestation and climate change shrink their suitable terrain. But why are these fungi so rare? And why don’t we just farm more of them? Carolyn Beans digs into the truffle’s unique and somewhat mysterious biology. [Directed by Denys Spolitak, narrated by Adrian Dannatt, music by Cem Misirlioglu, Brooks Ball[.",368,Carolyn Beans,2025-09-09T15:02:39Z
587797,beck_brachman_the_incredible_secrets_hidden_in_your_immune_system,157723,"Your immune system keeps a record of everything it’s ever fought, from the common cold to chronic disease. Neuroscientist and TED Fellow Beck Brachman explains how, by decoding this archive, scientists may be able to identify the root causes — and thus deduce the cures — of devastating illnesses like multiple sclerosis and schizophrenia, potentially one day taking the “chronic” out of “chronic disease.”",278,Beck Brachman,2025-09-09T14:58:08Z
587786,david_fajgenbaum_how_nearly_dying_helped_me_discover_my_own_cure_and_many_more,157718,"Physician-scientist David Fajgenbaum was dying from a rare disease that didn't have a cure — until he discovered a lifesaving drug that wasn't originally intended for his condition. In an astonishing talk, he shares how his near-death experience led him to cofound the nonprofit Every Cure, which is using AI to uncover hidden treatments in existing medicines in order to save lives. (This ambitious idea is part of The Audacious Project, TED’s initiative to inspire and fund global change.)",840,David Fajgenbaum,2025-09-08T20:13:52Z
592862,lewis_bollard_how_to_end_factory_farming,159975,"Factory farming is the greatest moral crisis we ignore, says farm animal welfare champion Lewis Bollard. He exposes the truth behind the ""all natural"" labels on your groceries and shows how technology and public pressure can uncover the unseen struggle of animals, drive the industry to reform and harness our collective capacity for moral progress. (Note: This talk contains graphic images.)",676,Lewis Bollard,2025-09-05T14:45:30Z
592819,rob_bredow_and_nora_atkinson_what_will_the_future_of_art_look_like_a_visual_effects_artist_and_a_curator_answer,159974,"How will AI and new technology change art? Visual effects artist Rob Bredow, known for his work on Star Wars, and curator Nora Atkinson, who brought Burning Man to the Smithsonian, dive deep into the future of creativity, trading behind-the-scenes stories that show how to blend stop‑motion, LED walls and algorithms in art — while still keeping the soul in the work. (This conversation is part of “TED Intersections,” a series featuring thought-provoking conversations between experts navigating the ideas shaping our world.)",1492,Rob Bredow and Nora Atkinson,2025-09-05T14:41:03Z
589671,nidhi_upadhyaya_how_we_got_hooked_on_credit_cards,158458,"Today, credit cards are a $500 billion-a-year industry. Banks consider these lines of credit when deciding whether or not to approve loans, incentivizing customers to maintain multiple credit cards. So, how did this lending system originate? And how did they get to be so popular? Nidhi Upadhyaya digs into the history of credit cards in the United States. [Directed by Jeff Le Bars, JetPropulsion.space, narrated by Bethany Cutmore-Scott, music by Salil Bhayani, cAMP Studio].",274,Nidhi Upadhyaya,2025-09-04T15:01:32Z
585774,julienne_oyler_how_displaced_people_are_driving_local_economies,156845,"The number of forcibly displaced people across the world is on the rise. While aid systems often focus on providing basic necessities like food and shelter, Julienne Oyler and her team at the nonprofit Inkomoko have a more ambitious plan: invest in refugee entrepreneurs in order to help them build their businesses, uplift their communities and gain access to financial services. She describes how displaced people are already driving local economies — and shows what it will take to bring their innovations to scale. (This ambitious idea is part of The Audacious Project, TED’s initiative to inspire and fund global change.)",517,Julienne Oyler,2025-09-03T21:06:55Z
591512,sebastian_kind_most_countries_fail_at_clean_energy_here_s_how_mine_succeeded,159285,"Energy expert Sebastián Kind helped Argentina go from virtually no renewable energy to generating nearly 40 percent of its electricity from wind and solar in just six years, despite economic crises and skepticism. How did the country's transition off fossil fuels happen so quickly? He shows why the key breakthrough didn't hinge on technology or resources — and explains how other countries can follow the same path.",691,Sebastián Kind,2025-09-03T14:46:24Z
589669,michael_vazquez_and_raye_ploeger_can_humans_be_trusted_with_control_over_genetics,158457,"Andre and Leslie are a deaf couple who have decided to have a child, and they’re considering using a process to ensure deafness in their child. As deaf parents, they feel they could provide better guidance to a child that would share their lived experience and grow up immersed in deaf culture. But is this genetic intervention ethical? Michael Vazquez and Raye Ploeger explore this classic dilemma. [Directed by Luisa Holanda, narrated by Bethany Cutmore-Scott, music by Gabriel Maia].",293,Michael Vazquez and Raye Ploeger,2025-09-02T15:00:55Z
592967,daphne_halikiopoulou_what_s_behind_the_rise_of_far_right_politics_in_europe,160067,Far-right parties are gaining popularity worldwide. Why is that? Political researcher Daphne Halikiopoulou reveals how rising leaders tap into people’s economic insecurities and distrust of institutions in order to cleverly rebrand their right-wing policies.,555,Daphne Halikiopoulou,2025-09-02T14:59:53Z
591591,rha_goddess_ted_talks_daily_book_club_intentional_ambition_redefining_your_work_for_greater_joy_freedom_and_fulfillment,159357,"Rha Goddess is an entrepreneurial soul coach and author of the new book ""Intentional Ambition: Redefining Your Work for Greater Joy, Freedom, and Fulfillment."" In this TED Talks Daily Book Club interview with host Elise Hu, Goddess talks about moving forward after the 2020 pandemic and how you can center your life around joy and mental wellbeing. She lays out the three stages to renegotiate your relationship to work in order to discover and align with your true ambitions. Later in the conversation, she answers questions from the TED community and offers advice on how to recognize your mission and values while leading with compassion. (The TED Talks Daily Book Club series features TED speakers discussing their latest books and exploring their ideas beyond the page. Stay tuned for more interviews like this one and for special live book club events open exclusively to TED Members.)",3308,Rha Goddess,2025-08-29T14:51:17Z
591792,kathleen_morrill_pirovich_why_are_there_so_many_different_kinds_of_dogs,159452,"The immense physical variety of dogs makes them among the world’s most diverse species and likely the one with the greatest range in size. A Pomeranian, for example, might weigh 2 kilograms, while a Mastiff could tip the scale to 100. So, why is this? And what does a dog’s breed actually say about them? Kathleen Morrill Pirovich explores the dizzying diversity of dogs. [Directed by Anastasiia Falileieva, Studio Plastic Bag, narrated by Bethany Cutmore-Scott, music by Zakhar Bo].
",284,Kathleen Morrill Pirovich,2025-08-28T15:05:40Z
590426,anshul_tewari_want_to_make_change_let_young_people_tell_their_stories,158865,"As a teenager, social entrepreneur Anshul Tewari didn’t see young voices represented in the conversations that mattered. His solution? A simple blog that has since transformed into Youth Ki Awaaz (Voice of the Youth): India’s largest citizen media platform, where more than 200,000 young people write about underrepresented issues every month. From stories of bringing electricity to forgotten villages to launching national climate campaigns, Tewari reveals how authentic storytelling can build individual and collective agency for change.",583,Anshul Tewari,2025-08-28T14:36:10Z
592356,simona_francese_could_we_detect_breast_cancer_with_a_fingerprint,159724,"Breast cancer is the most common cancer among women globally. And yet, many people pass up opportunities to get screened for the disease, often because of the invasive and sometimes painful process of mammograms. Chemist and professor Simona Francese presents a potentially groundbreaking alternative that could transform how and when we identify this deadly disease.",749,Simona Francese,2025-08-27T14:17:06Z
591525,cella_wright_can_you_figure_out_the_savanna_mystery,159297,"In the early 2000s, one of the world’s most widespread invasive species landed in Kenya’s Laikipia Plateau: big-headed ants. They expanded rapidly into super-colonies, preying on other insects, spiders, and even small birds. Their presence has wreaked havoc on the ecosystem and significantly changed the landscape. So, how did these tiny creatures have such a huge impact? Cella Wright investigates. [Directed by Steve West, Lazy Chief, narrated by Addison Anderson, music by George Rodriguez].",357,Cella Wright,2025-08-26T15:06:52Z
579851,lenore_skenazy_why_you_should_spend_less_time_with_your_kids,153162,"Whether it’s micromanaging playtime, constantly hovering or incessantly texting, the adult takeover of childhood has created a crisis of anxiety in both children and parents, says Lenore Skenazy, cofounder and president of Let Grow, an organization dedicated to normalizing childhood independence. With wit and humor, she lays out the unexpected benefits of letting our kids be a bit more “free range” — and shows why the most teachable moments happen when parents aren’t there.",794,Lenore Skenazy,2025-08-26T15:01:21Z
594450,salome_agbaroji_and_samora_pinderhughes_beyond_the_talk_salome_agbaroji_and_samora_pinderhughes_in_conversation_with_elise_hu,160788,"In a conversation about the intersection of art and AI, spoken word poet Salome Agbaroji and musician Samora Pinderhughes sit down with Elise Hu, host of ""TED Talks Daily,"" to talk about their practices, the importance of community art programs and the impact of technology on human creativity. The two discuss why the influence of technology isn't something you can simply turn off and turn on again — and explore how to avoid compromising humanity for the sake of technological advancement. ""The human experience is a very real one that we shouldn’t neglect,” says Agbaroji.",2724,Salome Agbaroji and Samora Pinderhughes,2025-09-19T14:37:04Z
585749,eric_nguyen_how_ai_could_generate_new_life_forms,156825,"If DNA is just a string of letters, could AI learn to read it … or even write it? Bioengineering researcher Eric Nguyen reveals how AI has upended the rules of biology, potentially creating a future where disease is cured with personalized medicine, extinct species are resurrected (Jurassic Park, anyone?) and microbes designed for Mars make interplanetary life possible. Learn more about how the world's first AI-designed CRISPR model successfully edited genes — and what it means for our understanding of life itself.",702,Eric Nguyen,2025-08-25T14:55:47Z
574282,salome_agbaroji_the_unprompted_a_poem_that_ai_will_never_understand,148409,"What happens when a poet talks back to AI? In an electrifying performance, Salome Agbaroji performs her original spoken-word poem, ""The Unprompted,"" weaving a powerful reflection on humanity, technology and what no machine can match.",300,Salome Agbaroji,2025-08-25T14:39:52Z
591069,myriam_sidibe_what_sex_soap_and_alcohol_taught_me_about_making_an_impact,159070,"What if saving lives and growing a company went hand in hand? Public health expert Myriam Sidibe thinks many businesses are going about social impact all wrong — and leaving millions of dollars on the table at the same time. Drawing from decades of experience, she reveals a playbook for brands to create real impact, proving that what’s good for society can be great for business.",597,Myriam Sidibe,2025-08-22T14:44:31Z
590384,max_g_levy_can_saunas_make_you_live_longer,158826,"Finnish sauna, Roman balneae, Japanese onsen, and Indigenous American sweat lodges are just a few examples of how cultures across the globe have long considered exposure to extreme temperatures therapeutic. But today scientists are only just beginning to unravel how and why this may be the case. So, what exactly is happening in your body when you feel the heat? Max G. Levy investigates. [Directed by Noam Sussman, Ali Kellner, Homework Studio, narrated by Alexandra Panzer, music by Salil Bhayani, cAMP Studio].",280,Max G. Levy,2025-08-21T15:03:33Z
590785,negin_farsad_a_spicy_take_on_parenting_happiness_and_sex,158933,"In a biting standup act, comedian and TED Fellow Negin Farsad gives the best parenting advice you've never heard and examines the link between happiness and sex. (Contains mature content)",410,Negin Farsad,2025-08-21T14:47:01Z
589879,jenny_du_the_science_of_making_fruits_and_veggies_last_longer,158573,"It's a hard nut to crack: in order to prevent food waste, we rely on plastic packaging and refrigeration, which harm the environment. What if we could turn to nature to address these challenges? Engineer and chemist Jenny Du shares how a simple plant-based innovation — using the same elements found in fruit and vegetable peels — can extend the shelf life of produce, while also fighting food waste and spurring a healthier, more sustainable food system.",709,Jenny Du,2025-08-20T14:39:20Z
589667,emily_a_geest_mood_lighting_mating_and_murder_the_scintillating_lives_of_fireflies,158456,"The first firefly is thought to have lived over 100 million years ago, illuminating the night with a glowing green light. And today, there are around 2,000 firefly species, found all over the world, from forests and grasslands to marshes and deserts. So, why do these insects glow? Emily A. Geest digs into the bioluminescent signals of fireflies. [Directed by Lou Morton, narrated by Alexandra Panzer, music by Jarrett Farkas].",285,Emily A. Geest,2025-08-19T15:01:35Z
583725,joshua_bell_300_years_of_classical_music_in_18_minutes,155909,"Does the world still need classical music? What about orchestras? In this gorgeous talk and performance, violinist Joshua Bell and the Chamber Orchestra of America play selections of classical music masterpieces — from Mozart’s Symphony No. 25 to Schubert’s Unfinished Symphony and more — sharing why this art form remains a singularly unifying force.",1091,Joshua Bell,2025-08-19T14:51:47Z
590726,ilona_szabo_de_carvalho_the_world_s_first_nature_superpower,158932,"Over the last 40 years, Brazil has lost an area larger than California to deforestation — and 90 percent of the clear-cutting has been illegal, all part of a multi-billion-dollar global environmental crime economy. Civic entrepreneur Ilona Szabó de Carvalho sees this crisis as an opportunity. Revealing how Brazil is pioneering an economic model actually profiting from protecting nature, she shares the ambitious restoration goals and innovations in forest mapping that are turning the country into a ""nature superpower."" Get a glimpse of what an economy rooted in regeneration, not extraction, could look like.",539,Ilona Szabó de Carvalho,2025-08-18T14:53:18Z
